标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
三环内公园旁 次新小区 南北通透 精装修 拎包入住,百合里   ,2室2厅,89.1平米,南 北,28,未知, 五龙口 ,103,11561
天誉龙邸，精装两房，高配家具家电，诚心出售！,天誉龙邸南区   ,2室2厅,85.42平米,南,32,未知, 五龙口 ,103,12059
天誉龙邸，欧派精装两房，全明户型，交通便利！,天誉龙邸南区   ,2室2厅,85.97平米,西北,32,未知, 五龙口 ,103,11981
互小隔壁，三室一室 双气 精装修 三楼拎包入住 急售,互助路18号院   ,3室1厅,70.2平米,南 北,6,未知, 王府井 ,108,15385
绿都城   全明户型   满五唯一  配套齐全  看房有钥匙,郑州绿都城   ,2室2厅,74.77平米,东南,6,未知, 中原万达 ,105,14044
不临高架，中间楼层，采光好，自住装修好。,和昌澜景   ,3室2厅,88.27平米,东南,34,未知, 儿童公园 ,113,12802
三环内，电梯小高层，经典三小房，全明户型,和昌湾景国际   ,3室2厅,89.27平米,西南,11,未知, 儿童公园 ,110,12323
不临高架 无差额税  看房有钥匙,和昌澜景   ,3室1厅,88.7平米,南,34,未知, 儿童公园 ,114,12853
不临高架，次新小区，精装中间楼层，采光好,和昌澜景   ,3室2厅,88.94平米,南,23,未知, 儿童公园 ,110,12368
南北通透 高楼层，视野采光佳 次新房,溢彩年华   ,3室2厅,88.61平米,南 北,27,未知, 中原万达 ,113,12821
不临高架 没住过人 三开间朝南 6号线口房主自荐,和昌澜景   ,3室1厅,88.94平米,南,23,未知, 儿童公园 ,109,12256
三环内，家门口地铁6号线即将开通，生活配套齐全,和昌澜景   ,3室2厅,89.09平米,东南,34,未知, 儿童公园 ,102,11450
《贝壳优选》三环内 地铁6号线 只有契税 业主诚心出售,和昌澜景   ,3室1厅,88.07平米,南,34,未知, 儿童公园 ,110,12491
次新小区  得房率高  小三房  诚心出售,工人路187号   ,3室2厅,89.79平米,南,32,未知, 电力新村 ,116,12920
三环内 地铁口 不临高架 精装三方,和昌澜景   ,3室2厅,88.93平米,南,34,未知, 儿童公园 ,106,11920
不临高架 南北通透 中间楼层 6号线口,和昌澜景   ,2室1厅,76.24平米,南 北,33,未知, 儿童公园 ,105,13773
三环内 地铁口 不临高架 婚房装修 好楼层 采光无忧房主自荐,和昌澜景   ,3室1厅,88.97平米,东 南,28,未知, 儿童公园 ,119,13376
不临高架 满五唯一 带负一层车位 全南三室 6号线口,和昌澜景   ,3室1厅,88.99平米,南,30,未知, 儿童公园 ,115,12923
不临高架 温馨装修 急售 6号线口,和昌澜景   ,3室2厅,88.99平米,东南,30,未知, 儿童公园 ,108,12137
不临高架，6号线，人车分流，次新小区绿化好；,和昌澜景   ,3室2厅,89.5平米,南,32,未知, 儿童公园 ,115,12850
和昌澜景 楼栋安静  精装3房可拎包入住  距离地铁口近房主自荐,和昌澜景   ,3室2厅,88.63平米,南,34,未知, 儿童公园 ,110,12412
不临高架 自住宜居装修 看房随时 6号线口,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,119,13382
不临高架 无差额税  看房有钥匙,和昌澜景   ,3室1厅,88.7平米,南,34,未知, 儿童公园 ,114,12853
和昌澜景，精装修自住，满五唯一，拎包入住,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,113,12707
三环内，电梯小高层，经典三小房，全明户型,和昌湾景国际   ,3室2厅,89.27平米,西南,11,未知, 儿童公园 ,110,12323
三环边 地铁口  华瑞开发经典小三室,紫韵丽园   ,3室1厅,89.29平米,东南,34,未知, 中原万达 ,110,12320
不临高架 地暖精装 全屋订制 随时看房 6号线口,和昌澜景   ,3室1厅,88.74平米,南,28,未知, 儿童公园 ,105,11833
自住装修看房方便 新小区环境好 双地铁交通好,华瑞紫韵雅园   ,3室2厅,88.6平米,南,34,未知, 中原万达 ,110,12416
6号线地铁口  精装朝南3房 全明户型 可拎包入住,和昌澜景   ,3室1厅,88.07平米,南,34,未知, 儿童公园 ,105,11923
不临高架，中间楼层，采光好，自住装修好。,和昌澜景   ,3室2厅,88.27平米,东南,34,未知, 儿童公园 ,113,12802
客厅朝南带阳台 两梯四户 品质精装修 诚心出售,升龙天汇9号院   ,2室1厅,84.66平米,南,34,未知, 月季公园 ,108,12757
有钥匙，不临高架 小三房  楼层好,和昌澜景   ,3室2厅,88.63平米,南,34,未知, 儿童公园 ,115,12976
河景房 精装地暖 俯瞰三环夜景 6号线口,和昌澜景   ,3室1厅,88.16平米,南,27,未知, 儿童公园 ,115,13045
看房随时都可以 央企单位家属院 房子品质高,锦绣华北   ,2室2厅,89.16平米,南,17,未知, 中原万达 ,105,11777
满五唯一，拎包入住；好楼层，6号线,和昌澜景   ,3室1厅,89.09平米,南,34,未知, 儿童公园 ,105,11786
独栋独单元高层采光好宽敞大堂近双地铁,紫韵丽园   ,3室1厅,88.36平米,东南,33,未知, 中原万达 ,100,11318
三环内次新小区地铁口两房不临高架好楼层,和昌澜景   ,2室1厅,75.77平米,南 北,34,未知, 儿童公园 ,107,14122
邻近万达 ，18年3月份交房，小区环境好，人车分流,保利心语一期   ,2室2厅,82.43平米,东北,34,未知, 中原万达 ,100,12132
满五唯一，不临高架；全明户型，出门地铁,和昌澜景   ,3室1厅,88.91平米,南,34,未知, 儿童公园 ,105,11810
不临高架 没住过人 三开间朝南 6号线口房主自荐,和昌澜景   ,3室1厅,88.94平米,南,23,未知, 儿童公园 ,109,12256
三环内 地铁口 不临高架 精装三方,和昌澜景   ,3室2厅,88.93平米,南,34,未知, 儿童公园 ,106,11920
三环内地铁口不临高架低楼层全明户型,和昌澜景   ,3室1厅,88.27平米,南 北,34,未知, 儿童公园 ,102,11556
满五唯一，不临高架；全明户型，出门地铁,和昌澜景   ,3室1厅,88.91平米,南,34,未知, 儿童公园 ,105,11810
自住装修看房方便 新小区环境好 双地铁交通好,华瑞紫韵雅园   ,3室2厅,88.6平米,南,34,未知, 中原万达 ,110,12416
满五年，人车分流。采光好 户型好。视野好,惠众西城一品   ,2室1厅,80.99平米,东南,33,未知, 热电厂 ,105,12965
三环内洋房社区一楼带院一居室两厅一位品味独特的来,花语里   ,1室2厅,82.8平米,南 北,11,未知, 五龙口 ,109,13165
多层电梯洋房，北通透南，居住舒适度高，配套齐全,新禧园   ,2室2厅,80.85平米,南 北,7,未知, 热电厂 ,107,13235
精装修自住标准  采光不挡 业主诚意出售,方圆经纬社区   ,2室1厅,78.96平米,南,29,未知, 王府井 ,110,13932
一楼 客厅朝南带阳台 采光好 业主诚意出售,正商金域世家   ,2室1厅,88.63平米,南,34,未知, 五龙口 ,112,12728
：房子满五年唯一，中间楼层，采光好，配套齐全！,九龙国际   ,3室1厅,87.98平米,南,25,未知, 五龙口 ,105,11935
河景房 全屋定制 自住装修 6号线口,和昌澜景   ,3室1厅,88.04平米,南,34,未知, 儿童公园 ,115,13063
央企开发 无差额税 朝 南 的户型 采光好 业主诚心出售,保利百合   ,2室1厅,86.79平米,南,31,未知, 热电厂 ,107,12329
精装双气 人车分离小区 环境优美 采光好物业好,九龙城龙腾西城   ,3室1厅,88.55平米,东,33,未知, 五龙口 ,108,12197
精装修楼层好，采光好，产权清晰，诚心出售。,汇泉城3号院   ,3室1厅,87.02平米,南,33,未知, 常西湖 ,105,12067
中原万达旁 地铁口 央企保利开发 东南朝向 中间楼层,保利心语一期   ,2室2厅,84.41平米,东 南,34,未知, 中原万达 ,116,13743
诚心出售 锦艺城全明户型，满五年采光好 中间楼层,锦艺国际华都（三期）月星家居广场   ,3室2厅,86.68平米,南 北,26,未知, 热电厂 ,105,12114
全明户型，餐客一体，楼层好，视野开阔，光线充足。,保利百合   ,2室1厅,87.31平米,南,34,未知, 热电厂 ,100,11454
万达旁，2018年社区，精装两室 中间楼层，满五唯一房主自荐,保利心语一期   ,2室1厅,76.9平米,西 北,34,未知, 中原万达 ,103,13395
满五唯一，无贷款，业主诚心出售,盛润锦绣城东院   ,2室1厅,79.44平米,西南,31,未知, 王府井 ,105,13218
房子满五唯一，精装修，中间楼层，采光遮挡，随时可看,盛润锦绣城东院   ,2室1厅,79.44平米,北,31,未知, 王府井 ,113,14225
三环内  精装修 带车位 诚心出售 6号线地铁口,和昌澜景   ,3室1厅,88平米,东 南,34,未知, 儿童公园 ,113,12841
儿童公园旁 五号线 采光好 视野好 诚心卖 看房提前约,公园壹号   ,2室1厅,85.53平米,南,33,未知, 儿童公园 ,110,12861
满五唯一，产权清晰，诚心急售，价位可议，随时过户,盛润锦绣城西院   ,3室1厅,88.25平米,南,34,未知, 王府井 ,107,12125
梧桐新语，精装三房，全明户型，不临路，央企开发！,梧桐新语   ,3室2厅,85.69平米,南,34,未知, 五龙口 ,105,12254
金二环 主城区 精装修三居室 诚心出售 满五唯一,升龙天汇1号院   ,3室1厅,87平米,南,34,未知, 五龙口 ,105,12069
西三环 地铁口 次新小区 精装修 五建新街坊,五建新街坊1号院   ,2室2厅,79.85平米,南,33,未知, 热电厂 ,100,12524
业主诚心出售 2016年次新双气小区精装人车完全分流,升龙天汇3号院   ,3室2厅,87.94平米,南,32,未知, 五龙口 ,100,11372
精装自住三房 户型好 看房方便 诚心出售,五建新街坊1号院   ,3室2厅,88.04平米,东南,33,未知, 热电厂 ,100,11359
满五唯一 房屋精装修 随时联系随时看,金水世纪城   ,2室1厅,78.19平米,南 北,32,未知, 五龙口 ,100,12790
来看房!相中房子价位可谈，南北通透户型，好楼层！,锦艺国际华都（三期）月星家居广场   ,3室2厅,86.68平米,南 北,26,未知, 热电厂 ,110,12691
锦艺88平三居室 地暖 地铁1号和5号房主自荐,锦艺国际华都博郡   ,3室2厅,88.29平米,南,34,未知, 热电厂 ,116,13139
梧桐新语，精装三房，全明户型，不临路，央企开发！,梧桐新语   ,3室2厅,85.69平米,南,34,未知, 五龙口 ,105,12254
满五唯一，产权清晰，诚心急售，价位可议，随时过户,盛润锦绣城西院   ,3室1厅,88.25平米,南,34,未知, 王府井 ,107,12125
西城一品纯南两房 景观楼层 全天采光 业主诚心出售,惠众西城一品   ,2室2厅,80.99平米,南,33,未知, 热电厂 ,115,14200
永威自持物业 品质保证 主流方正户型 下沉式庭院,永威泰和璟苑   ,3室2厅,88.81平米,西南,30,未知, 常西湖 ,120,13512
金二环 主城区 精装修三居室 诚心出售 满五唯一,升龙天汇1号院   ,3室1厅,87平米,南,34,未知, 五龙口 ,105,12069
精装自住三房 户型好 看房方便 诚心出售,五建新街坊1号院   ,3室2厅,88.04平米,东南,33,未知, 热电厂 ,100,11359
满五年 精装修 看房方便 采光好 视野充足房主自荐,保利百合   ,3室2厅,87.99平米,南 北,34,未知, 热电厂 ,120,13638
业主诚心出售 2016年次新双气小区精装人车完全分流,升龙天汇3号院   ,3室2厅,87.94平米,南,32,未知, 五龙口 ,100,11372
西三环 地铁口 次新小区 精装修 五建新街坊,五建新街坊1号院   ,2室2厅,79.85平米,南,33,未知, 热电厂 ,100,12524
金二环，通透三室 精装修拎包入住 看房方便,领创天誉华庭   ,2室1厅,87.8平米,西南,34,未知, 五龙口 ,115,13098
三环内，次新小区，2016年建成，小三房，业主诚心出售,栖湖怡家   ,3室2厅,89.25平米,南 北,34,未知, 热电厂 ,100,11205
满五年税费低，精装修，拎包入住，全明户型，采光好,晶华城西区   ,3室1厅,70.46平米,南,18,未知, 五龙口 ,110,15612
满五年唯一 产权清晰 双气朝南 地铁1号线秦岭路站,金源第一城   ,2室2厅,72.6平米,东南,14,未知, 热电厂 ,100,13775
两梯三户，满五唯一省税，户型采光好，不临街不临路房主自荐,九龙城龙栖尚都   ,2室1厅,87.19平米,南,18,未知, 五龙口 ,110,12617
金二环优质社区，绿城物业，人才分流,城开绿城绿园   ,3室1厅,87.89平米,南 北,32,未知, 五龙口 ,120,13654
此房满五唯一，税费少，户型朝南，采光面宽,九龙城龙栖尚都   ,2室1厅,76.3平米,南 北,18,未知, 五龙口 ,107,14024
金二环，次新小区，多出面积20平左右,城开绿城绿园   ,3室2厅,83.66平米,南 北,32,未知, 五龙口 ,106,12671
万达西，地铁口，央企开发，保利物业，人车分流环境好,保利心语一期   ,3室1厅,85.46平米,南,34,未知, 中原万达 ,105,12287
小高层，精装小三房，年代新，价格低，压力小,和昌澜景   ,3室1厅,88.94平米,南,23,未知, 儿童公园 ,109,12256
邮局家属院，低楼层房出售，安静，适合居住,梦园新村   ,2室1厅,89.92平米,南,7,未知, 五龙口 ,105,11678
万达旁保利央企 无抵押全明小两房 业主诚心出售,保利心语一期   ,2室2厅,82.43平米,东北,34,未知, 中原万达 ,108,13103
满五唯一  纯南户 采光好 交通便利,和昌澜景   ,3室1厅,88.04平米,南,34,未知, 儿童公园 ,103,11700
互助路文化宫路 地铁口5号线10号线1号线 两室 年代新,中原工学院家属院   ,2室1厅,79.68平米,南,7,未知, 王府井 ,105,13178
双气急售！！精装修，好楼层，视野开阔拎包入住！！,聚龙花园   ,2室2厅,87.22平米,南 北,18,未知, 儿童公园 ,103,11810
此房带院子 户型方正 看房方便,清城美苑   ,2室1厅,87.02平米,南 北,7,未知, 五龙口 ,103,11894
经典三室 满二 税少  好楼层 视野开阔 看房方便,永威金桂苑   ,3室2厅,89.3平米,南,30,未知, 常西湖 ,110,12319
中海旁，阳光城精装两房 小高层 自住装修 不临高架,阳光城丽景公馆南苑   ,2室2厅,73.03平米,东南,11,未知, 中原万达 ,118,16158
中高楼层，采光好，家具家电齐全，诚信出售,盛润锦绣城西院   ,2室1厅,82.43平米,南 北,32,未知, 王府井 ,120,14558
金二环优质社区，绿城物业，人才分流,城开绿城绿园   ,3室1厅,87.89平米,南 北,32,未知, 五龙口 ,120,13654
两梯三户，满五唯一省税，户型采光好，不临街不临路房主自荐,九龙城龙栖尚都   ,2室1厅,87.19平米,南,18,未知, 五龙口 ,110,12617
三环内，次新小区，2016年建成，小三房，业主诚心出售,栖湖怡家   ,3室2厅,89.25平米,南 北,34,未知, 热电厂 ,100,11205
户型方正，地暖入户，配套成熟，,锦艺国际华都博郡   ,3室2厅,88.29平米,南,34,未知, 热电厂 ,103,11667
满五年唯一 产权清晰 双气朝南 地铁1号线秦岭路站,金源第一城   ,2室2厅,72.6平米,东南,14,未知, 热电厂 ,100,13775
满五唯一 房屋精装修 随时联系随时看,金水世纪城   ,2室1厅,78.19平米,南 北,32,未知, 五龙口 ,100,12790
满五年税费低，精装修，拎包入住，全明户型，采光好,晶华城西区   ,3室1厅,70.46平米,南,18,未知, 五龙口 ,110,15612
国企开发，品质小区，精装三房，诚心出售,梧桐新语   ,3室1厅,85.69平米,南,34,未知, 五龙口 ,100,11670
主城区14年品质小区，人车分流 保利物业 精装修房主自荐,保利百合   ,2室2厅,86.57平米,南,31,未知, 热电厂 ,115,13285
满五唯一  纯南户 采光好 交通便利,和昌澜景   ,3室1厅,88.04平米,南,34,未知, 儿童公园 ,103,11700
互助路文化宫路 地铁口5号线10号线1号线 两室 年代新,中原工学院家属院   ,2室1厅,79.68平米,南,7,未知, 王府井 ,105,13178
农业路 五龙口  精装两室 采光好 业主诚心出售,九龙城龙腾西城   ,2室2厅,84.11平米,南 西,33,未知, 五龙口 ,113,13435
城开绿园 南北通透 精装修 全屋定制 业主急售,城开绿城绿园   ,3室2厅,87.89平米,南 北,32,未知, 五龙口 ,103,11720
锦艺城旁，20万精装，满五唯一，全款房,惠众西城一品   ,2室1厅,80.76平米,南,33,未知, 热电厂 ,110,13621
满五唯一，全明纯南向户型，采光好，5.4米*大阳台房主自荐,中原新城王府东院   ,2室2厅,84.56平米,南,33,未知, 郑州一中 ,100,11826
出门农业路高架 全南 小三房 采光无遮挡 业主诚心急售,梧桐新语   ,3室1厅,89.57平米,南,23,未知, 五龙口 ,105,11723
人车分流，小区楼间距75米，楼层好，采光好,万达广场东西区   ,2室2厅,84.77平米,南,33,未知, 中原万达 ,105,12387
正商颖河港湾 满五年 朝南两房 客厅带阳台 看房有钥匙,正商颖河港湾   ,2室1厅,87.98平米,南,18,未知, 中原万达 ,105,11935
升龙天汇10号院 精装修 满五年唯一 诚心出售随时看房,升龙天汇10号院   ,2室2厅,84.75平米,东南,33,未知, 月季公园 ,102,12036
永威二期 中间好楼层 业主诚心出售,永威泰和璟苑   ,3室2厅,88.81平米,南 北,30,未知, 常西湖 ,115,12949
21年次新房小区，永威物业，环境好，品质好，配套齐,永威泰和璟苑   ,3室2厅,88.81平米,南,30,未知, 常西湖 ,115,12949
中原万达，地铁口，中间楼层。可以拎包入住,万达广场东西区   ,2室2厅,89.84平米,南,33,未知, 中原万达 ,109,12133
精装修，温馨边户小三室，业主诚心出售,汇泉城2号院   ,3室2厅,87.95平米,南 北,34,未知, 常西湖 ,100,11371
万达旁，小区环境优美，人车分离，交通便利。,保利心语一期   ,2室1厅,82.43平米,东 北,34,未知, 中原万达 ,100,12132
三环内金水西路19年次新小区 精装三室 诚心出售,金水世纪城   ,3室2厅,87.21平米,南,34,未知, 五龙口 ,109,12499
惠众西城一品 2室2厅 南,惠众西城一品   ,2室2厅,88.22平米,南,31,未知, 热电厂 ,108,12243
次新小区 精装修 标准三房 拎包入住 满五唯一房主自荐,九龙国际   ,3室2厅,86.63平米,西,33,未知, 五龙口 ,103,11890
地铁五号线  中原新城经典户型小高层  客厅朝南带阳台,中原新城王府西院   ,2室2厅,85.68平米,南,11,未知, 郑州一中 ,120,14006
奥体旁 近地铁 永威品质 小三房 户型好,永威金桂苑   ,3室2厅,89.3平米,南 北,30,未知, 常西湖 ,105,11759
金二环地铁口 精装修朝南两房 客厅朝南主卧朝南,中原新城王府东院   ,2室1厅,89.22平米,东南,34,未知, 郑州一中 ,100,11209
地铁口5号线 陇海西路 中原新城  经典两房  二环边,中原新城王府东院   ,2室2厅,88.26平米,南,34,未知, 郑州一中 ,105,11897
地铁口5号线 中原新城 朝南两室 大阳台,中原新城王府东院   ,2室2厅,89.22平米,南,34,未知, 郑州一中 ,100,11209
满五年+无贷款+无抵押+楼层好+采光充足+业主诚售,保利百合   ,2室2厅,79.17平米,南,34,未知, 热电厂 ,115,14526
中原万达旁 二砂地铁口 70米间距 人车分流 精装大两居,万达广场东西区   ,2室1厅,89.84平米,南,33,未知, 中原万达 ,108,12022
采光好  户型方正 不浪费面积  温馨两房,惠众西城一品   ,2室2厅,80.76平米,南,33,未知, 热电厂 ,110,13621
晶华城，配套齐全，经典三室，三面采光,晶华城   ,3室1厅,84.41平米,东 南 北,27,未知, 五龙口 ,120,14217
次新小区，人车分流，新装修小三房，拎包入住,金水世纪城   ,3室2厅,86.91平米,南,34,未知, 五龙口 ,120,13808
三环内 次新小区  高品质 中间楼层 业主诚心卖,金水世纪城   ,2室2厅,78.71平米,南,32,未知, 五龙口 ,100,12705
次新小区人车分流纯南户不受高架影响,华龙苑   ,2室1厅,80.63平米,南,23,未知, 儿童公园 ,101,12527
阳光花苑三期房子 人车分流 2018年的社区 次新房,阳光花苑   ,2室2厅,88.79平米,南,26,未知, 中原万达 ,120,13516
电力医院单位房双气电梯 2房2厅可贷款位置好 二环内,河南电力医院家属区   ,2室2厅,87.07平米,南 北,7,未知, 电力新村 ,110,12634
金水西路洋房高品质社区，环境优雅，户型采光好税费少,正商金域世家   ,2室2厅,89.93平米,南 北,34,未知, 五龙口 ,109,12121
采光足+楼层好+地铁口+有钥匙+随时看房,五建新街坊5号院   ,3室2厅,88.01平米,南,33,未知, 热电厂 ,120,13635
碧沙岗丹尼斯旁！地铁1号线 花园社区 人车分流 精装修,宏江瀚苑   ,2室1厅,75.21平米,南 北,34,未知, 碧沙岗 ,116,15424
价格优美，三开间朝南，户型优质，采光充足，配套齐全,正商金域世家   ,2室1厅,88.63平米,南,34,未知, 五龙口 ,117,13201
人车分流小区，环境好 采光好 绿化高，诚心售,正商金域世家   ,2室1厅,89.79平米,南,34,未知, 五龙口 ,112,12474
改善性洋房社区小高层，一梯两户，精装修拎包入住,花语里   ,2室2厅,89.37平米,南 北,18,未知, 五龙口 ,109,12197
农业路 金二环 全明三居 次新小区人车分流,升龙天汇3号院   ,3室1厅,88.55平米,西,33,未知, 五龙口 ,100,11294
地铁口2017年次新小区精装修两居室，诚心出售,宏江瀚苑   ,2室2厅,86.5平米,南,34,未知, 碧沙岗 ,110,12717
奥体旁，三开间朝南 满二税费少 全天采光，连通阳台,永威泰和璟苑   ,3室2厅,88.76平米,东南,34,未知, 常西湖 ,108,12168
双气地暖精装大两房 满五唯一 看房有钥匙 随时看房房主自荐,宏江瀚苑   ,2室1厅,86.91平米,东,34,未知, 碧沙岗 ,113,13002
永威金桂苑 价格划算的一套精装修小户型 太适合结婚房主自荐,永威金桂苑   ,3室2厅,89.3平米,南,30,未知, 常西湖 ,107,11983
农业高架 地铁五号线 精装双气 小三房 楼层好 采光好房主自荐,升龙天汇9号院   ,3室2厅,89.93平米,南,33,未知, 月季公园 ,118,13122
锦艺旁 毛坯两房 双地铁双公园 大型商场 随时看房,方圆经纬二期   ,2室1厅,78平米,南,32,未知, 王府井 ,104,13334
洋房社区 好楼层 客厅朝南带阳台 无贷款 看房有钥匙,正商金域世家   ,2室2厅,88.67平米,南,34,未知, 五龙口 ,105,11842
前年精装 南向采光视野无遮挡 客厅装的风管机房主自荐,郑州绿都城   ,3室2厅,89.1平米,南,18,未知, 中原万达 ,118,13244
华瑞紫韵城    三 室 两    厅,紫韵丽园   ,3室2厅,89.25平米,南,33,未知, 中原万达 ,108,12101
次新小区双地铁 中高楼层视野开阔 三开间朝南,华瑞紫韵雅园   ,3室1厅,88.6平米,南 北,34,未知, 中原万达 ,110,12416
此房满五唯一，看房方便，诚心出售,工人路社区   ,3室1厅,89.81平米,南,5,未知, 电力新村 ,105,11692
精装朝南双气两房 中间好楼层 产权清晰,升龙天汇七号院   ,2室1厅,83.91平米,南,33,未知, 月季公园 ,120,14302
低层老人小孩宜居工作方便双地铁三居,紫韵丽园   ,3室2厅,89.09平米,南 西南,33,未知, 中原万达 ,103,11562
前年精装 南向采光视野无遮挡 客厅装的风管机房主自荐,郑州绿都城   ,3室2厅,89.1平米,南,18,未知, 中原万达 ,118,13244
精装朝南双气两房 中间好楼层 产权清晰,升龙天汇七号院   ,2室1厅,83.91平米,南,33,未知, 月季公园 ,120,14302
房子精装修，楼层好 ，采光视野好,和昌湾景国际   ,2室2厅,81.62平米,南 西,34,未知, 儿童公园 ,102,12497
2019年次新小区 精装小三房 高楼层视野好满二税费少,升龙天汇七号院   ,3室2厅,89.77平米,南,34,未知, 月季公园 ,109,12143
电梯洋房，精装三房，配套齐全，交通便利！,九龙城龙腾西城   ,2室1厅,88.98平米,南,6,未知, 五龙口 ,120,13487
此房满五唯一，看房方便，诚心出售,工人路社区   ,3室1厅,89.81平米,南,5,未知, 电力新村 ,105,11692
三环内，地铁口，纯南户型小三房，带车位，不临高架,和昌澜景   ,3室1厅,88.4平米,南,34,未知, 儿童公园 ,120,13575
精装朝南三房，采光视野无遮挡，装修保持较好,九龙城龙腾西城   ,3室2厅,86.51平米,南,33,未知, 五龙口 ,103,11907
不临高架，业主诚心出售，自住、看房方便,和昌澜景   ,3室2厅,88.93平米,南,34,未知, 儿童公园 ,110,12370
华瑞紫韵城    三 室 两    厅,紫韵丽园   ,3室2厅,89.25平米,南,33,未知, 中原万达 ,108,12101
惠众西城一品  标准两室 全明户型 满五唯一 交通方便,惠众西城一品   ,2室2厅,80.76平米,南,33,未知, 热电厂 ,115,14240
央企开发，人车分流，小区中间位置采光无遮挡。,保利百合   ,2室2厅,88.54平米,南,34,未知, 热电厂 ,101,11464
急卖大两房，户型好，品质小区，环境优美，配套齐全,正商金域世家   ,2室2厅,88.63平米,南,34,未知, 五龙口 ,111,12524
洋房社区 好楼层 客厅朝南带阳台 无贷款 看房有钥匙,正商金域世家   ,2室2厅,88.67平米,南,34,未知, 五龙口 ,105,11842
次新小区双地铁 中高楼层视野开阔 三开间朝南,华瑞紫韵雅园   ,3室1厅,88.6平米,南 北,34,未知, 中原万达 ,110,12416
陇海路地铁5号线 户型方正 采光好,中原新城王府东院   ,2室2厅,88.3平米,南,34,未知, 郑州一中 ,105,11892
业主诚意出售，满五年不唯一，正常税费,盛润锦绣城东院   ,2室1厅,79.44平米,南,31,未知, 王府井 ,108,13596
满五唯一 税费少 无抵押 过户简单 户型方正 交通便利,六冶家属院南院   ,3室1厅,87.53平米,南,7,未知, 电力新村 ,102,11654
次新房 封闭管理一级物业 采光好 方正三室 5公园相伴,金水世纪城   ,3室2厅,86.82平米,南,33,未知, 五龙口 ,120,13822
正商金域世家 高层好户型 采光刺眼 家具家电齐全。,正商金域世家   ,2室2厅,88.63平米,南,34,未知, 五龙口 ,115,12976
园林小区客厅朝南大两房格局好采光好,正商金域世家   ,2室2厅,88.67平米,南,34,未知, 五龙口 ,105,11842
九龙城龙栖尚都 方正户型 精装修 上学近 采光好,九龙城龙栖尚都   ,2室2厅,87.32平米,南 北,18,未知, 五龙口 ,100,11453
三环内新小区 人车分离 正弘一级物业管理！,金水世纪城   ,3室2厅,86.5平米,南,34,未知, 五龙口 ,112,12948
三环内 90平小三房 中间楼层 双地铁 锦艺、西元国际,金水世纪城   ,3室2厅,86.52平米,南,34,未知, 五龙口 ,110,12714
三环内 地铁口 不临高架  三室朝南 适合老人居住,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,115,12932
万达旁 精装修两室，拎包 入住，随时看房,阳光城丽景公馆北苑   ,2室2厅,76平米,东北,31,未知, 中原万达 ,107,14079
锦艺旁，金水路，洋房社区，精装修，拎包入住,正商金域世家   ,2室2厅,89.84平米,南 北,34,未知, 五龙口 ,115,12801
正商百合里 纯南两室 精装修 诚心出售,百合里   ,2室2厅,87.86平米,南,28,未知, 五龙口 ,102,11610
三环内新小区，人车分离　朝南小三室　好楼层，诚心卖,金水世纪城   ,3室2厅,88.21平米,南 北,34,未知, 五龙口 ,108,12244
正商百合里 纯南两室 精装修 诚心出售,百合里   ,2室2厅,87.86平米,南,28,未知, 五龙口 ,102,11610
三环内 地铁口 不临高架  三室朝南 适合老人居住,和昌澜景   ,3室1厅,88.93平米,南,34,未知, 儿童公园 ,115,12932
业主诚心出售，精装修，楼层好， 前面无遮挡,紫韵景园   ,3室2厅,88.55平米,南 北,30,未知, 中原万达 ,106,11971
精装修  落地窗  三开间朝南  中间楼层  诚心出,城开绿城绿园   ,3室1厅,89.63平米,南,32,未知, 五龙口 ,117,13054
正商2房纯边户，好楼层，两梯两户 电梯小高层 采光好,花语里   ,2室2厅,89.36平米,北 南,18,未知, 五龙口 ,106,11863
西三环，万达商圈，成熟配套，业主诚心出售,景悦城2号院   ,3室2厅,89.39平米,东南,34,未知, 中原万达 ,110,12306
全明户型绿化好人车分流出行方便,景悦城2号院   ,3室2厅,89.4平米,南 北,34,未知, 中原万达 ,109,12193
观澜小区纯南小三房，全明户型，好楼层，诚意出售,工人路187号   ,3室1厅,89.79平米,北 南,32,未知, 电力新村 ,105,11694
正商金域世家 精装修两房 景观楼层采光好  诚心出售,正商金域世家   ,2室1厅,88.67平米,南,34,未知, 五龙口 ,120,13534
锦艺三期年代新，满五唯一，新装修未入住，随时看房,惠众西城一品   ,2室2厅,88.22平米,西南 南,31,未知, 热电厂 ,104,11789
《精选》地铁口 不临高架 婚房精装+地暖  诚心出售,和昌澜景   ,3室1厅,89.73平米,南,32,未知, 儿童公园 ,110,12259
2023年新小区中间楼层采光好楼下底商出行方便！,景悦城2号院   ,3室2厅,89.45平米,南,34,未知, 中原万达 ,106,11851
新天地，纯南小三房，地梯口，好楼层，精装修拎包入住,中原新城新天地小区   ,3室1厅,88.09平米,南,31,未知, 电力新村 ,107,12147
《贝壳优选》三环内 次新小区 南北通透 精装 近地铁,和昌湾景国际   ,3室1厅,88.25平米,南 北,34,未知, 儿童公园 ,110,12465
