标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
精装两房，品质小区，高区景观房，业主诚意出售房主自荐,浦发罗兰翡丽   ,2室1厅,80.21平米,南,16,2017, 唐镇 ,700,87271
保利林语溪+c户型+8平，精装修可拎包入住房主自荐,保利林语溪(公寓)   ,2室2厅,89.66平米,南 北,18,2011, 三林 ,526,58667
陆家嘴八佰伴地段，双南户型两房，精装入住，诚意出售房主自荐,天后宫大楼   ,2室1厅,72.39平米,南,24,1989, 陆家嘴 ,678,93660
三林板块+地铁6号线11号线+金谊广场新达汇+近前滩,锦丽新苑   ,2室1厅,84.29平米,南 北,6,2002, 三林 ,650,77115
金葵自住精装房 南北通户型 陆家嘴三件套景观房主自荐,金葵新城(西区)   ,2室2厅,84.26平米,南 北,18,2012, 金桥 ,519,61596
精装修，顶楼复式的格局，可利用空间大,保利·首创丨颂   ,3室2厅,86.39平米,南,8,未知, 康桥 ,770,89131
业主诚心出售，价格可以谈，地铁2号线唐镇，张江东,保利御樽苑二期   ,3室1厅,74.53平米,南,8,2012, 唐镇 ,550,73796
全南两房，高区无遮挡，精装修，保利开发11年商品小区,保利林语溪(公寓)   ,2室2厅,89.79平米,南,18,2011, 三林 ,589,65598
双南全明，带会所前排临河景观，地暖，新风中-央空调,浦发罗兰翡丽   ,2室2厅,80.21平米,南,16,2017, 唐镇 ,668,83282
双天井大院子，南北全明的户型，地铁口，税费低房主自荐,新世纪花苑(一期)(浦东)   ,2室2厅,73.63平米,南 北,6,1996, 世博 ,535,72661
恒大翰城瀚林苑 2室1厅 南,恒大翰城瀚林苑   ,2室1厅,88.34平米,南,6,2002, 杨思前滩 ,680,76976
业主%诚意，价格可谈  看房预约  高区全景,久阳滨江公寓   ,1室1厅,70.32平米,南,26,2006, 陆家嘴 ,530,75370
小区央位，高楼层2+1户型，业主诚心出售房主自荐,印象春城   ,2室2厅,88.97平米,南 北,18,2011, 周浦 ,550,61819
高楼层南北通户型方正，采光视野一级棒，品质小区,绿地东上海二期   ,2室2厅,88.04平米,南 北,14,2010, 周浦 ,560,63608
满五、双南户型电梯房，采光通风好,海运新村   ,2室1厅,77.69平米,南,18,1990, 塘桥 ,520,66933
房东诚意卖 新装修 随时看房子房主自荐,金桂家园   ,2室2厅,82.77平米,南,8,1995, 联洋 ,780,94238
高楼层边套南北通户型 装修好 拎包入住 有车位 可议价,绿地东上海二期   ,2室2厅,88.04平米,南 北,14,2010, 周浦 ,630,71559
30万精装修前滩全明双南户型中间楼层近地铁房主自荐,凌兆新村(上浦路202弄)   ,2室1厅,85.96平米,南,6,1995, 三林 ,505,58749
户型正气，2018年次新房龄，空调地暖新风房主自荐,明天华城   ,2室2厅,89.71平米,南,18,2017, 周浦 ,588,65545
近2地铁 傍公园 户型方正 保养好 通透性好 無税好房房主自荐,牡丹路399弄   ,2室1厅,76.07平米,南 北,6,1996, 花木 ,618,81241
精装修 采光刺眼  满五 品质社区 出行便利,地杰国际城E欧泊时光   ,2室2厅,85.11平米,南,26,2007, 御桥 ,720,84597
2017年次新房南北户型位置好采光好无遮挡 标杆小区,九龙仓兰廷   ,3室2厅,89.08平米,南,18,2016, 周浦 ,688,77234
业主急售税费各付 非底楼 有钥匙,九龙仓兰廷   ,3室1厅,89.52平米,南 北,18,2016, 周浦 ,650,72610
精装修，楼层好，采光视野好，独栋位置，张江南,印象春城   ,3室2厅,89.99平米,南 北,18,2011, 周浦 ,599,66563
2022年次新房人车分流楼层好采光好南边无遮挡标杆小区,锦绣御澜   ,3室2厅,88.33平米,南,18,2022, 周浦 ,718,81287
店长推荐笋盘！中楼层 前方视野开阔无楼 新房的税费,都市庭院   ,2室2厅,88.47平米,南,6,1999, 世博 ,680,76863
张江南扩3轨郊+南北通2+1户型价格可谈房主自荐,印象春城   ,2室2厅,89.3平米,南 北,18,2011, 周浦 ,592,66294
南北两室，精装修，小区中间位置，业主诚意出售,泾南教师公寓   ,2室2厅,70.97平米,东南 北,6,1999, 洋泾 ,650,91588
金色中环，小区c位，地铁100米，视野空旷,绿茵苑(浦东)   ,2室1厅,83.77平米,南,6,1998, 杨思前滩 ,520,62075
6号线北洋泾站，售后公房税费少，非底楼，位置安静房主自荐,巨东小区   ,3室1厅,77.72平米,南,6,1994, 洋泾 ,700,90067
婚房装修位置好， 可拎包入住，看房提前预约房主自荐,大华锦绣华城(四街区)   ,2室2厅,82.54平米,南,6,2010, 北蔡 ,718,86989
位置安静，中间楼层，业主诚意出售，看房方便,御桥花园   ,2室1厅,75.77平米,南 北,6,1996, 御桥 ,530,69949
张江南两房 双南中间楼层位置好  日常配套成熟房主自荐,印象春城   ,2室2厅,87.85平米,南,18,2009, 周浦 ,554,63063
品质小区  次新小区 小区配套成熟 南北小三房,九龙仓兰廷   ,3室2厅,89.52平米,南 北,18,2016, 周浦 ,580,64790
房东诚意出售，降价50万诚意出售，价格看付款还能谈,明珠苑(浦东)   ,2室1厅,73.51平米,南,6,1998, 洋泾 ,650,88424
次新房，满五唯 一，有车位，开发商精装修，诚意出售,绿洲康城亲水湾(中央区)   ,2室2厅,88.83平米,南,14,2017, 御桥 ,590,66420
张江南南北正通两房，满五电梯高层，采光充足诚意房主自荐,绿地景汇佳苑   ,2室2厅,89.71平米,南 北,21,2014, 周浦 ,570,63539
前滩板块辐射区+02年商品房+小区中间位置+采光没遮挡,恒大华城天地苑   ,2室2厅,88.5平米,南,6,2002, 杨思前滩 ,730,82486
仁恒广场 2室1厅 南,仁恒广场   ,2室1厅,88.86平米,南,18,1994, 塘桥 ,550,61896
新鲜出炉！近期必卖！南北通两房，精装修，看房方便房主自荐,浦江东旭公寓(669弄1-109号)   ,2室2厅,82.75平米,南,7,2006, 高行 ,550,66466
四期雅颂+位置好+新装修+南北通透+景观高区+有车位,绿洲康城亲水湾(中央区)   ,2室2厅,83平米,南 北,18,2017, 御桥 ,640,77109
全屋精装修+大金中 央空调+近7/18号线+满五年唯 一,芳华路253弄   ,3室1厅,86.26平米,南,6,1995, 北蔡 ,535,62022
一手动迁+电梯无遮挡+中环内+税费少+看房方便,三林世博家园(东书房路390弄)   ,2室1厅,85.26平米,南,24,2006, 杨思前滩 ,520,60990
婚房装修位置好， 可拎包入住，看房提前预约房主自荐,大华锦绣华城(四街区)   ,2室2厅,82.54平米,南,6,2010, 北蔡 ,718,86989
金色中环，小区c位，地铁100米，视野空旷,绿茵苑(浦东)   ,2室1厅,83.77平米,南,6,1998, 杨思前滩 ,520,62075
满五无增值税+三房+低密度+诚意出售,东方御水湾   ,3室2厅,88.96平米,南,6,2012, 御桥 ,670,75315
南北通透+精准修拎包入住+有车位，诚意出售房主自荐,鹏欣家园   ,2室2厅,80.91平米,南 北,6,1998, 南码头 ,540,66741
大华十九街区-高品质公园适居小区-临河景满五房主自荐,大华锦绣华城(十九街区)(公寓)   ,2室2厅,88.84平米,南,6,2003, 北蔡 ,750,84422
阳光城市家园，精装修电梯两室两厅，业主诚意出售房主自荐,阳光城市家园   ,2室2厅,81.31平米,南 北,17,2009, 金桥 ,535,65798
15年次新小区，人车分流，景观房，视野开阔，满五年房主自荐,大华锦绣华城(十五街区)   ,2室2厅,73.71平米,南,18,2013, 北蔡 ,790,107177
品质小区人车分流 前面别墅安静私密  有院子,金地湾流域（一期518弄别墅/大洋房）   ,2室2厅,86.51平米,南,14,2008, 三林 ,750,86696
品质小区 楼层好朝南客厅户型方正,罗山花苑   ,2室2厅,74.98平米,南,6,1998, 碧云 ,720,96026
此房满五年，南北格局，楼层好，视野宽阔，采光充足,中冶尚城   ,2室2厅,89.97平米,南,14,2010, 高行 ,768,85362
三杨新村二街坊 2室2厅 南,三杨新村二街坊   ,2室2厅,79.34平米,南,17,2012, 杨思前滩 ,668,84195
11+18号线御桥站 非顶楼小三房 周期可谈  市场A房,御桥花园   ,2室2厅,86.94平米,南,6,1996, 御桥 ,588,67633
小区中间位置+中间楼层+2009年标杆社区+近地铁号6线,吉利名苑   ,2室2厅,76.86平米,南 北,6,2009, 杨思前滩 ,690,89774
前滩辐射区，近地铁，中间楼层 三房，钥匙，税费少。,绿茵苑(浦东)   ,3室1厅,88.24平米,南 北,6,1998, 杨思前滩 ,520,58931
"精装景观房, 中楼层采光舒适，近地铁出行方便",雍景台   ,1室2厅,71平米,北,18,2005, 花木 ,730,102817
2017年次新房南北户型位置好采光好无遮挡 标杆小区,九龙仓兰廷   ,3室2厅,89.08平米,南,18,2016, 周浦 ,688,77234
店长推荐笋盘！中楼层 前方视野开阔无楼 新房的税费,都市庭院   ,2室2厅,88.47平米,南,6,1999, 世博 ,680,76863
30万精装修前滩全明双南户型中间楼层近地铁房主自荐,凌兆新村(上浦路202弄)   ,2室1厅,85.96平米,南,6,1995, 三林 ,505,58749
业主急售税费各付 非底楼 有钥匙,九龙仓兰廷   ,3室1厅,89.52平米,南 北,18,2016, 周浦 ,650,72610
精装修，楼层好，采光视野好，独栋位置，张江南,印象春城   ,3室2厅,89.99平米,南 北,18,2011, 周浦 ,599,66563
2022年次新房人车分流楼层好采光好南边无遮挡标杆小区,锦绣御澜   ,3室2厅,88.33平米,南,18,2022, 周浦 ,718,81287
南临河 南北全明小2房，视野开阔，精装带地暖人车分流,浦发罗兰翡丽   ,2室1厅,76.69平米,南,14,2017, 唐镇 ,630,82149
杨思前滩+精装修拎包入住+楼层好采光好,上南山水苑   ,2室2厅,86.72平米,南 北,6,2001, 杨思前滩 ,550,63423
前滩板块辐射区+02年商品房+小区中间位置+采光没遮挡,恒大华城天地苑   ,2室2厅,88.5平米,南,6,2002, 杨思前滩 ,730,82486
仁恒广场 2室1厅 南,仁恒广场   ,2室1厅,88.86平米,南,18,1994, 塘桥 ,550,61896
近地铁+双南+全明+户型方正！,明丰佳园   ,2室2厅,73.99平米,南,6,1997, 南码头 ,530,71632
网红户型06年楼盘高富帅海归喜欢诚意出售楼层好采光佳,久阳滨江公寓   ,2室1厅,78.25平米,南,26,2006, 陆家嘴 ,675,86262
位置安静，中间楼层，业主诚意出售，看房方便,御桥花园   ,2室1厅,75.77平米,南 北,6,1996, 御桥 ,530,69949
精装一梯两户少有户型，格局通透，采光无遮挡,昌七小区   ,2室2厅,79.12平米,南 北,6,1997, 世博 ,550,69515
南北通透+精准修拎包入住+有车位，诚意出售房主自荐,鹏欣家园   ,2室2厅,80.91平米,南 北,6,1998, 南码头 ,540,66741
南临河 南北全明小2房，视野开阔，精装带地暖人车分流,浦发罗兰翡丽   ,2室1厅,76.69平米,南,14,2017, 唐镇 ,630,82149
2号线东昌路地铁口，电梯两房，可用菊园,东昌大楼   ,2室0厅,74.6平米,南,13,1990, 陆家嘴 ,528,70778
碧云板块 小区中间楼层&满五&精装修&近内环,星云小区   ,2室1厅,78.88平米,南,6,1995, 碧云 ,700,88743
双南大两房+精装修+不靠路+近世纪大道地铁,梅园四街坊   ,2室1厅,81.48平米,南,24,1994, 梅园 ,698,85666
新鲜出炉！近期必卖！南北通两房，精装修，看房方便房主自荐,浦江东旭公寓(669弄1-109号)   ,2室2厅,82.75平米,南,7,2006, 高行 ,550,66466
四期雅颂+位置好+新装修+南北通透+景观高区+有车位,绿洲康城亲水湾(中央区)   ,2室2厅,83平米,南 北,18,2017, 御桥 ,640,77109
精装修 中间楼层 好房 不靠路不,尼德兰花园(二期)   ,2室2厅,88.07平米,南,13,2016, 外高桥 ,520,59044
满五年房东就一套精装修随时看房诚意出售房主自荐,日月光水岸花园(一期)   ,2室2厅,87.85平米,南,13,2010, 张江 ,720,81958
三林南，户型楼层好，业主诚意出售,中骏柏景湾   ,3室1厅,89.69平米,南,16,2017, 康桥 ,650,72472
此房满五年，双南户型 采光好 ，业主诚售,市政大楼   ,2室2厅,72.53平米,南,18,1992, 梅园 ,758,104509
13号地铁口 绿城物业 电梯小两房 公园视野房主自荐,大华锦绣华城(十八街区)(公寓)   ,2室1厅,80.13平米,南,24,2006, 北蔡 ,699,87234
繁荣华庭地铁口两房全明中高楼层精装房,繁荣华庭   ,2室1厅,83.67平米,南 北,15,2016, 周浦 ,539,64420
高品质大两房，尽享三口之家的乐趣，触碰幸福的温度房主自荐,金桥好人家   ,2室2厅,89.58平米,南,6,2001, 金桥 ,550,61398
诚售必卖，XUE可用，无贷款无抵押无户口，中高区精装,中冶尚城   ,2室2厅,87.57平米,南,14,2010, 高行 ,745,85075
申城佳苑一期A块 2室2厅 南 北,申城佳苑一期A块   ,2室2厅,84.9平米,南 北,6,2016, 张江 ,544,64076
内环内 一梯两户 精装修 近lcm 双轨交 诚售可谈房主自荐,名门世家(浦东)   ,2室1厅,74.07平米,南,7,1998, 洋泾 ,600,81005
精装自住大1房，高楼层景观房，低总价诚意出售,东南华庭   ,2室1厅,78.73平米,北,29,2004, 塘桥 ,680,86372
商品房小区建筑质量好 满五年全明 近地铁 诚意卖,光鸿苑   ,2室1厅,86.9平米,南,6,1999, 南码头 ,660,75950
诚意出售，安静位置，中间楼层，满五年，看房随时,锦绣小区   ,3室1厅,81.87平米,南,6,1996, 联洋 ,750,91609
新出好房，非地楼，满五年，诚意出售房主自荐,金桂小区   ,3室1厅,88.29平米,南,6,1994, 花木 ,648,73395
地铁口100米 小区央位 无遮挡  装修好 不靠马路,建华公寓   ,3室1厅,88.93平米,南 北,6,1995, 花木 ,680,76465
这套房子有一个特特大的阁楼，其他房子没有的。,金和佳园   ,2室2厅,87.54平米,南,6,2003, 金桥 ,518,59173
浦东三林+南北户型+前后无遮挡+业主诚售,绿地香颂(浦东)(公寓)   ,3室2厅,88.75平米,南,18,2011, 三林 ,560,63099
地铁口三房改两房 客厅主卧朝南，次卧卫生间厨房朝北,金桂小区   ,3室2厅,88.44平米,南 北,6,1993, 花木 ,660,74627
满五年房型正气采光充足，高楼层，视野开阔自住装修,绿地东上海三期   ,2室1厅,89.05平米,南,21,2014, 周浦 ,600,67378
1.张江、陆家嘴一带上班的年轻人 2.三林、北蔡、金房主自荐,绿洲康城亲水湾(中央区)   ,2室2厅,75.75平米,南 北,20,2017, 御桥 ,530,69967
浦坊大楼 3室1厅 南房主自荐,浦坊大楼   ,3室1厅,71.79平米,南,17,1987, 潍坊 ,550,76613
澪稅费+中间位置+中间楼层+學位位用+看房随时+急售房主自荐,广洋苑   ,2室2厅,76.21平米,南,6,2002, 金杨 ,650,85291
业主诚意出售 楼层好 采光好 可以拎包入住,三林新村(永泰路468弄)   ,2室2厅,83.82平米,南 北,18,2009, 三林 ,530,63231
此房户型方正南北通，房东诚意出售满五买进高，税费少,毕加索小镇(二期)(公寓)   ,2室1厅,89.53平米,南 北,13,2011, 唐镇 ,690,77070
11+18号线御桥站 非顶楼小三房 周期可谈  市场A房,御桥花园   ,2室2厅,86.94平米,南,6,1996, 御桥 ,588,67633
此房满五年，南北格局，楼层好，视野宽阔，采光充足,中冶尚城   ,2室2厅,89.97平米,南,14,2010, 高行 ,768,85362
品质小区 楼层好朝南客厅户型方正,罗山花苑   ,2室2厅,74.98平米,南,6,1998, 碧云 ,720,96026
前滩辐射区，近地铁，中间楼层 三房，钥匙，税费少。,绿茵苑(浦东)   ,3室1厅,88.24平米,南 北,6,1998, 杨思前滩 ,520,58931
小区中间位置+中间楼层+2009年标杆社区+近地铁号6线,吉利名苑   ,2室2厅,76.86平米,南 北,6,2009, 杨思前滩 ,690,89774
"精装景观房, 中楼层采光舒适，近地铁出行方便",雍景台   ,1室2厅,71平米,北,18,2005, 花木 ,730,102817
大华十九街区-高品质公园适居小区-临河景满五房主自荐,大华锦绣华城(十九街区)(公寓)   ,2室2厅,88.84平米,南,6,2003, 北蔡 ,750,84422
15年次新小区，人车分流，景观房，视野开阔，满五年房主自荐,大华锦绣华城(十五街区)   ,2室2厅,73.71平米,南,18,2013, 北蔡 ,790,107177
阳光城市家园，精装修电梯两室两厅，业主诚意出售房主自荐,阳光城市家园   ,2室2厅,81.31平米,南 北,17,2009, 金桥 ,535,65798
惟一一套2楼在售+中间位置+中环内2008年+地铁8号线,世华锦城   ,2室2厅,79.32平米,南 北,6,2008, 杨思前滩 ,588,74131
带花园+地下室+花园洋房+精装小三房+满五only房主自荐,金地艺华年（公寓）   ,3室2厅,89平米,南 北,8,2013, 航头 ,500,56180
高品质小区+推窗见景+躺忘落霞+可见陆家嘴三件套房主自荐,海富花园   ,1室1厅,78.93平米,南,25,1996, 塘桥 ,525,66515
次新纯商品房小区 人车分流 万科物业 近地铁商场,绿地东上海三期   ,2室1厅,89.65平米,南 北,17,2014, 周浦 ,650,72505
二期洋房  南北通得房率高  美式50W精装   地暖空调房主自荐,金融家   ,2室2厅,87.25平米,南,8,2017, 唐镇 ,560,64184
三林金地、宜居小区，新上南北通两房,未来域   ,2室2厅,87.54平米,南,3,2006, 三林 ,740,84533
花木鑫丰苑 3室2厅 南,花木鑫丰苑   ,3室2厅,79.54平米,南,6,2003, 花木 ,770,96807
花木街道，带阁楼，税费少，诚意出售，7号线地铁口房主自荐,锦博苑   ,2室2厅,79.52平米,南,6,2007, 北蔡 ,569,71555
2号线唐镇，拎包入住，全明户型，位置好，得房率高，房主自荐,毕加索小镇(一期)(公寓)   ,2室2厅,89.23平米,南,8,2010, 唐镇 ,660,73967
店长力荐 电梯双南两房 精装修 诚意出售 产权清晰！房主自荐,上钢一村   ,2室2厅,75.61平米,南,6,1994, 世博 ,538,71155
内高层，小区中间位置，世纪大道地铁口，生活休闲方便,竹园高层   ,3室1厅,87.15平米,南,22,1993, 源深 ,630,72290
北洋泾站600米 全明三房 LCM旭辉广场，采光好 诚意售房主自荐,崮山小区四街坊   ,3室1厅,81.09平米,南,6,1997, 洋泾 ,590,72759
小区房龄新，全人车分流，环境适宜居住，户型方正房主自荐,海富城市花园四期   ,2室1厅,80.83平米,南,18,2022, 周浦 ,550,68045
卖房腾房票 诚意售 接受还价 税费各付 精装2年,金橘新苑（北区）   ,2室2厅,85.7平米,南 北,16,2006, 三林 ,570,66512
近地铁 临公园 配套全 双南大2房,建华公寓   ,2室1厅,81.91平米,南,6,1995, 花木 ,700,85460
近前滩+精装随时拎包入住+户型方正+业主诚意房主自荐,上南山水苑   ,2室2厅,86.88平米,南,6,2001, 杨思前滩 ,635,73090
仅有契税，南北通透格局，配套设施齐全，交通便利,金谊河畔   ,2室1厅,78.61平米,南 西 北,18,2009, 三林 ,645,82051
经典三房户型 业主自住装修 可拎包入住房主自荐,河滨城市花园   ,3室1厅,88.31平米,南,6,2006, 曹路 ,525,59450
新上满五年2房 南北户型 1梯2户 低区 诚意出售,新高苑(三期)   ,2室1厅,83.38平米,南,6,2011, 高行 ,520,62366
景观南北通2+1户型满五无增值税高楼层无遮挡边套,印象春城   ,2室2厅,88.89平米,南 北,18,2011, 周浦 ,550,61875
出价就谈！精装修带地暖，位置好，地铁口房主自荐,樱花坊   ,2室1厅,77.49平米,南,6,1995, 花木 ,697,89948
次新小区，双南户型，精装交付，得房率高房主自荐,阳光城丽景湾PLUS   ,2室2厅,88.76平米,南,18,2015, 康桥 ,635,71542
现代简约风格， 两房改一房，适合单身，或者小夫妻,印象春城   ,2室2厅,89.29平米,南 北,18,2011, 周浦 ,580,64957
精装修   位置好房    拎包入住   适合小夫妻房主自荐,栖山家园   ,2室2厅,80.55平米,南,6,2004, 金杨 ,549,68157
中环地铁口十年左右次新品质小区，总价650万左右两房房主自荐,浦发御园   ,2室2厅,78.45平米,南,12,2013, 三林 ,650,82856
南北通两房，近万达，带露台25平，二期wei1一套,沈默花苑   ,2室1厅,78.32平米,南 北,6,2011, 周浦 ,505,64480
杨思前滩+诚意出售+2000年商品房+一梯两户板式户型房主自荐,桃李家园   ,2室2厅,89.25平米,南,6,2000, 杨思前滩 ,550,61625
店长力荐 电梯双南两房 精装修 诚意出售 产权清晰！房主自荐,上钢一村   ,2室2厅,75.61平米,南,6,1994, 世博 ,538,71155
内高层，小区中间位置，世纪大道地铁口，生活休闲方便,竹园高层   ,3室1厅,87.15平米,南,22,1993, 源深 ,630,72290
业主诚意出售 楼层好 采光好 可以拎包入住,三林新村(永泰路468弄)   ,2室2厅,83.82平米,南 北,18,2009, 三林 ,530,63231
满五年房型正气采光充足，高楼层，视野开阔自住装修,绿地东上海三期   ,2室1厅,89.05平米,南,21,2014, 周浦 ,600,67378
北洋泾站600米 全明三房 LCM旭辉广场，采光好 诚意售房主自荐,崮山小区四街坊   ,3室1厅,81.09平米,南,6,1997, 洋泾 ,590,72759
1.张江、陆家嘴一带上班的年轻人 2.三林、北蔡、金房主自荐,绿洲康城亲水湾(中央区)   ,2室2厅,75.75平米,南 北,20,2017, 御桥 ,530,69967
次新纯商品房小区 人车分流 万科物业 近地铁商场,绿地东上海三期   ,2室1厅,89.65平米,南 北,17,2014, 周浦 ,650,72505
高品质小区+推窗见景+躺忘落霞+可见陆家嘴三件套房主自荐,海富花园   ,1室1厅,78.93平米,南,25,1996, 塘桥 ,525,66515
此房户型方正南北通，房东诚意出售满五买进高，税费少,毕加索小镇(二期)(公寓)   ,2室1厅,89.53平米,南 北,13,2011, 唐镇 ,690,77070
浦坊大楼 3室1厅 南房主自荐,浦坊大楼   ,3室1厅,71.79平米,南,17,1987, 潍坊 ,550,76613
澪稅费+中间位置+中间楼层+學位位用+看房随时+急售房主自荐,广洋苑   ,2室2厅,76.21平米,南,6,2002, 金杨 ,650,85291
位置安静，中间楼层，无遮挡光线好！,锦绣小区   ,3室1厅,82.24平米,南,6,1996, 联洋 ,760,92413
电梯房 中间楼层 7/18号线600米 龙阳路一站,龙科公寓   ,2室1厅,81.5平米,南,13,2013, 北蔡 ,550,67485
芳华路253弄 2室1厅 南,芳华路253弄   ,2室1厅,75.02平米,南,6,1995, 北蔡 ,500,66649
翔川家园，地理位置优越，生活方便，出行便利房主自荐,翔川家园   ,2室2厅,85.45平米,南 北,6,2008, 川沙 ,530,62025
双南 2+1户型 高楼层无遮挡 诚意出售房主自荐,印象春城   ,2室2厅,87.9平米,南,18,2009, 周浦 ,500,56883
内环内商品房小区得房率高，有钥匙随时看房房主自荐,杏花新苑   ,3室2厅,81.78平米,南,6,1994, 花木 ,588,71901
小区房龄新，全人车分流，环境适宜居住，户型方正房主自荐,海富城市花园四期   ,2室1厅,80.83平米,南,18,2022, 周浦 ,550,68045
南北通两房，近万达，带露台25平，二期wei1一套,沈默花苑   ,2室1厅,78.32平米,南 北,6,2011, 周浦 ,505,64480
此房满五年 精装修  很少入住保养好 厨房间基本全新,浦发御园   ,2室2厅,78.67平米,南,12,2013, 三林 ,660,83895
中环地铁口十年左右次新品质小区，总价650万左右两房房主自荐,浦发御园   ,2室2厅,78.45平米,南,12,2013, 三林 ,650,82856
杨思前滩+诚意出售+2000年商品房+一梯两户板式户型房主自荐,桃李家园   ,2室2厅,89.25平米,南,6,2000, 杨思前滩 ,550,61625
满五年+无个税+南北通透+采光无遮挡+双轨交,大华锦绣华城(十二街区)   ,2室2厅,89.88平米,南 北,6,2007, 北蔡 ,717,79774
全明户型双南卧，近地铁，交通便利，户型很好,兰花小区   ,2室2厅,85.91平米,南,6,1993, 花木 ,630,73333
花木 07年小区 一手动迁 非顶非底 户型好 诚意出售房主自荐,玉兰路81弄   ,2室1厅,79.02平米,南,6,2007, 花木 ,750,94913
双南户型，户型通透，一层两户人家的小户型哪里找！！,海桐小区   ,3室2厅,85.25平米,南 北,6,1999, 花木 ,650,76247
景观南北通2+1户型满五无增值税高楼层无遮挡边套,印象春城   ,2室2厅,88.89平米,南 北,18,2011, 周浦 ,550,61875
卖房腾房票 诚意售 接受还价 税费各付 精装2年,金橘新苑（北区）   ,2室2厅,85.7平米,南 北,16,2006, 三林 ,570,66512
此房小区中间位置 采光好且安静 户型方正 全明房主自荐,兰花小区   ,2室1厅,73.25平米,南,6,1994, 花木 ,560,76451
景观南北通2+1户型满五无增值税无遮挡边套房主自荐,印象春城   ,2室1厅,89.4平米,南 北,18,2011, 周浦 ,555,62081
房子不靠马路 南北通 满五年 带车位 中间楼层 视野好,印象春城   ,2室2厅,89.43平米,南 北,18,2011, 周浦 ,519,58035
周浦标杆楼盘新出，人车分流，景观楼层，有车位会所,新城西岸公园   ,3室2厅,89.81平米,南,17,2020, 周浦 ,730,81283
2012年低密度社区，临河，视野，阳光很棒，1梯3户,东方御水湾   ,2室2厅,89.66平米,南,11,2012, 御桥 ,658,73389
临河景观房，得房率高，全明户型,东方御水湾   ,3室2厅,89.37平米,东 北,11,2012, 御桥 ,690,77208
精装修   位置好房    拎包入住   适合小夫妻房主自荐,栖山家园   ,2室2厅,80.55平米,南,6,2004, 金杨 ,549,68157
金色中环+万科品质房龄新+楼层好视野佳+诚意出售房主自荐,万科金色里程(公寓)   ,3室1厅,88.97平米,南,18,2010, 杨思前滩 ,795,89356
前滩南 精装修 满五年 采光充足 河景房 全明户型,杉林新月环林东路875弄   ,2室2厅,84.14平米,南 北,18,2006, 三林 ,510,60614
满五年 近地铁18号芳芯路站 7号线芳华路站 环境整洁,芳丽苑   ,2室2厅,88.82平米,南,6,2002, 北蔡 ,570,64175
好位置、好楼层、好两房、无硬伤,大华锦绣华城(一街区)   ,2室2厅,73.58平米,南,6,2008, 北蔡 ,575,78147
二号线唐镇站 保利 央企开发小三房 南北通户型 采光好房主自荐,保利金爵公寓   ,3室2厅,87.79平米,南 北,11,2009, 唐镇 ,598,68118
房子距离地铁1公里以内，三开间朝南 视野开阔 有钥匙,绿地崴廉公寓   ,2室1厅,89.61平米,南 北,16,2008, 高行 ,550,61378
97年商品房+居住舒适+电梯房＋精装修＋位置好房主自荐,福山小区   ,2室1厅,71.15平米,南,18,1993, 梅园 ,550,77302
急售三房精装修拎包入住 有产权车位  满五年无个税,大华锦绣华城(四街区)   ,3室1厅,87.85平米,南,6,2010, 北蔡 ,790,89927
电梯房！烫金地段很棒视野采光！,福山小区   ,2室1厅,72.26平米,南 北,18,1997, 梅园 ,560,77498
换浦江畔、电梯直达、通风明亮、视野开阔,茂兴大厦   ,3室1厅,89.39平米,南,24,1996, 塘桥 ,590,66003
五⭐好房，小区低总价两房，中高区视野开阔，诚意出售,贵龙园   ,2室1厅,76.93平米,南 北,22,2002, 塘桥 ,749,97362
花园洋房+一梯一户+中间楼层+精装自住的装修，保养好,保利·首创丨颂   ,3室2厅,88.64平米,南,8,2020, 康桥 ,725,81792
小区位置好，全明双南户型，好楼层，精装修拎包入住,光辉小区   ,2室1厅,72.51平米,南,5,1992, 梅园 ,750,103435
店长推荐，商品房，一梯两户，进北，诚意出售,民生家园   ,2室2厅,84.96平米,南,6,1997, 梅园 ,630,74153
福外+建平+世纪大道地铁2469号线+精装修3房,市政大楼   ,3室1厅,86.23平米,南,18,1991, 梅园 ,736,85354
景观南北通2+1户型满五无增值税无遮挡边套房主自荐,印象春城   ,2室1厅,89.4平米,南 北,18,2011, 周浦 ,555,62081
全明户型双南卧，近地铁，交通便利，户型很好,兰花小区   ,2室2厅,85.91平米,南,6,1993, 花木 ,630,73333
花木 07年小区 一手动迁 非顶非底 户型好 诚意出售房主自荐,玉兰路81弄   ,2室1厅,79.02平米,南,6,2007, 花木 ,750,94913
现代简约风格， 两房改一房，适合单身，或者小夫妻,印象春城   ,2室2厅,89.29平米,南 北,18,2011, 周浦 ,580,64957
张江南标杆作品+仁恒物业+纯人车分流+低总价+拎包入住,浦发仁恒珊瑚世纪   ,2室2厅,86.93平米,南,16,2022, 康桥 ,680,78224
景观南北通2+1户型满五无增值税高楼层无遮挡边套,印象春城   ,2室2厅,88.89平米,南 北,18,2011, 周浦 ,550,61875
卖房腾房票 诚意售 接受还价 税费各付 精装2年,金橘新苑（北区）   ,2室2厅,85.7平米,南 北,16,2006, 三林 ,570,66512
清水房可直接装修，总成本低，价格还有空间，欢迎咨询,吉云公寓   ,2室1厅,73.05平米,南,6,1995, 联洋 ,675,92403
